PWY_NAME	PWY_COMMON_NAME
ETOH-ACETYLCOA-ANA-PWY	ethanol degradation I
PWY3O-246	(R,R)-butanediol degradation
PWY-6388	(S,S)-butanediol degradation
PWY0-1280	ethylene glycol degradation
PWY-6464	polyvinyl alcohol degradation
CYCLOHEXANOL-OXIDATION-PWY	cyclohexanol degradation
PWY-5731	atrazine degradation III
PWY-5727	atrazine degradation II
P141-PWY	atrazine degradation I (aerobic)
PWY-5726	deethylsimazine degradation
PWY-5171	N-cyclopropylmelamine degradation
PWY-5170	melamine degradation
PWY-5429	p-xylene degradation to p-toluate
PWY-5428	m-xylene degradation to m-toluate
PWY-5691	urate degradation to allantoin
TOLUENE-DEG-DIOL-PWY	toluene degradation to 2-oxopent-4-enoate (via toluene-cis-diol)
TOLUENE-DEG-CATECHOL-PWY	toluene degradation to benzoate
TOLUENE-DEG-4-OH-PWY	toluene degradation to protocatechuate (via p-cresol)
TOLUENE-DEG-3-OH-PWY	toluene degradation to 2-oxopent-4-enoate (via 4-methylcatechol)
TOLUENE-DEG-2-OH-PWY	toluene degradation to 2-oxopent-4-enoate I (via o-cresol)
PWY-81	toluene degradation to benzoyl-CoA (anaerobic)
TOLSULFDEG-PWY	4-toluenesulfonate degradation I
PWY-5165	4-toluenesulfonate degradation II
PWY-6041	4-sulfocatechol degradation
DESULFONATION-PWY	benzenesulfonate degradation
SHIKIMATEDEG-PWY	shikimate degradation I
PWY-6419	shikimate degradation II
PWY-6640	salicylate degradation IV
PWY-6636	salicylate degradation III
PWY-6224	salicylate degradation II
PWY-6183	salicylate degradation I
QUINATEDEG-PWY	quinate degradation I
PWY-6416	quinate degradation II
PWY-6336	protocatechuate degradation III (para-cleavage pathway)
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation II (ortho-cleavage pathway)
P184-PWY	protocatechuate degradation I (meta-cleavage pathway)
PWY0-321	phenylacetate degradation I (aerobic)
PWY-1341	phenylacetate degradation II (anaerobic)
PWY-5418	phenol degradation I (aerobic)
PHENOLDEG-PWY	phenol degradation II (anaerobic)
PWY-6690	cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate
PWY-6080	4-ethylphenol degradation (anaerobic)
HCAMHPDEG-PWY	3-phenylpropionate and 3-(3-hydroxyphenyl)propionate degradation to 2-oxopent-4-enoate
PWY-5648	2-nitrobenzoate degradation II
PWY-2381	4-nitrobenzoate degradation
PWY-5645	4-chloronitrobenzene degradation
PWY-5640	nitrobenzene degradation II
PWY-5637	nitrobenzene degradation I
PWY-5644	4-nitrotoluene degradation II
P421-PWY	4-nitrotoluene degradation I
PWY-5641	2-nitrotoluene degradation
PWY-5643	2,6-dinitrotoluene degradation
PWY-5642	2,4-dinitrotoluene degradation
PWY-5488	4-nitrophenol degradation II
PWY-5487	4-nitrophenol degradation I
PWY-5636	2-nitrophenol degradation
PWY-6051	2,4,6-trinitrotoluene degradation
PWY-722	nicotinate degradation I
PWY-5055	nicotinate degradation III
PWY-5033	nicotinate degradation II
PWY-1501	mandelate degradation I
P3-PWY	gallate degradation III (anaerobic)
GALLATE-DEGRADATION-II-PWY	gallate degradation I
GALLATE-DEGRADATION-I-PWY	gallate degradation II
PWY-1381	fluorene degradation II
FLUORENE-DEG-9-ONE-PWY	fluorene degradation I
PWY-6192	3,4-dichlorotoluene degradation
PWY-6191	2,5-dichlorotoluene degradation
PWY-6190	2,4-dichlorotoluene degradation
PWY-6104	3-chlorotoluene degradation II
PWY-6103	3-chlorotoluene degradation I
PWY-6214	3-chlorocatechol degradation III (meta pathway)
PWY-6193	3-chlorocatechol degradation II (ortho)
PWY-6089	3-chlorocatechol degradation I (ortho)
PWY-6094	3,4,6-trichlorocatechol degradation
PWY-6093	3,4-dichlorocatechol degradation
PWY-6087	4-chlorocatechol degradation
PWY-6084	3,5-dichlorocatechol degradation
PWY-6228	3-chlorobenzoate degradation III (via gentisate)
PWY-6216	3-chlorobenzoate degradation II (via protocatechuate)
PWY-6088	3-chlorobenzoate degradation I (via chlorocatechol)
PWY-6221	2-chlorobenzoate degradation
PWY-6217	3,4-dichlorobenzoate degradation
PWY-6215	4-chlorobenzoate degradation
PWY-6099	1,2,4,5-tetrachlorobenzene degradation
PWY-6091	1,2,4-trichlorobenzene degradation
PWY-6090	1,2-dichlorobenzene degradation
PWY-6083	chlorobenzene degradation
PWY-6081	1,3-dichlorobenzene degradation
14DICHLORBENZDEG-PWY	1,4-dichlorobenzene degradation
PWY-6200	2,4,5-trichlorophenoxyacetate degradation
PWY-6197	chlorinated phenols degradation
PWY-6178	2,4,6-trichlorophenol degradation
PWY-6107	chlorosalicylate degradation
PWY-6102	5-chloro-3-methyl-catechol degradation
PWY-6086	4-chloro-2-methylphenoxyacetate degradation
PWY-6085	2,4-dichlorophenoxyacetate  degradation
PWY-5419	catechol degradation to 2-oxopent-4-enoate II
P183-PWY	catechol degradation to 2-oxopent-4-enoate I
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to beta-ketoadipate
PWY-1361	benzoyl-CoA degradation I (aerobic)
P321-PWY	benzoyl-CoA degradation III (anaerobic)
CENTBENZCOA-PWY	benzoyl-CoA degradation II (anaerobic)
PWY-283	benzoate degradation II (aerobic and anaerobic)
PWY-2503	benzoate degradation I (aerobic)
PWY-6504	anthranilate degradation IV (aerobic)
PWY-6079	anthranilate degradation I (aerobic)
PWY-6077	anthranilate degradation II (aerobic)
2AMINOBENZDEG-PWY	anthranilate degradation III (anaerobic)
PWY5F9-3233	phthalate degradation
PWY5F9-12	biphenyl degradation
PWY-741	p-cymene degradation to p-cumate
PWY-721	3-methylquinoline degradation
PWY-6941	styrene degradation
PWY-681	dibenzothiophene desulfurization
PWY-6781	chlorogenic acid degradation
PWY-6550	carbazole degradation
PWY-6533	aniline degradation
PWY-6532	diphenylamine degradation
PWY-6343	ferulate degradation
PWY-6340	5,5-dehydrodivanillate degradation
PWY-6223	gentisate degradation
PWY-6210	2-aminophenol degradation
PWY-6185	4-methylcatechol degradation (ortho cleavage)
PWY-6184	methylsalicylate degradation
PWY-5490	paraoxon degradation
PWY-5489	methyl parathion degradation
PWY-5450	benzene degradation
PWY-5427	naphthalene degradation
PWY-5169	cyanurate degradation
PWY-5163	p-cumate degradation to 2-oxopent-4-enoate
PWY-481	ethylbenzene degradation (anaerobic)
PWY-2421	indole-3-acetate degradation to anthranilate
PWY-142	m-xylene degradation (anaerobic)
PARATHION-DEGRADATION-PWY	parathion degradation
P662-PWY	dibenzofuran degradation
P661-PWY	dibenzo-p-dioxin degradation
P345-PWY	aldoxime degradation
P343-PWY	resorcinol degradation
P342-PWY	orcinol degradation
METHYLGALLATE-DEGRADATION-PWY	methylgallate degradation
M-CRESOL-DEGRADATION-PWY	m-cresol degradation
4TOLCARBDEG-PWY	4-toluenecarboxylate degradation
4-HYDROXYMANDELATE-DEGRADATION-PWY	4-hydroxymandelate degradation
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation
2ASDEG-PWY	orthanilate degradation
PWY-5704	urea degradation II
PWY-5703	urea degradation I
PWY-6441	spermine and spermidine degradation III
PWY-6440	spermine and spermidine degradation II
PWY-6117	spermine and spermidine degradation I
PWY0-1221	putrescine degradation II
PWY-3	putrescine degradation V
PWY-2	putrescine degradation IV
PWY-0	putrescine degradation III
PUTDEG-PWY	putrescine degradation I
GLUAMCAT-PWY	N-acetylglucosamine degradation I
PWY-6967	methylamine degradation I
PWY-6965	methylamine degradation II
PWY-4741	creatinine degradation III
PWY-4722	creatinine degradation II
CRNFORCAT-PWY	creatinine degradation I
PWY-3721	choline degradation II
PWY-3641	carnitine degradation III
PWY-3602	carnitine degradation II
CARNMET-PWY	carnitine degradation I
PWY-5698	allantoin degradation to ureidoglycolate II (ammonia producing)
PWY-5697	allantoin degradation to ureidoglycolate I (urea producing)
PWY-6537	4-aminobutyrate degradation II
PWY-6536	4-aminobutyrate degradation III
PWY-6535	4-aminobutyrate degradation I
PWY-6473	4-aminobutyrate degradation IV
PWY-5022	4-aminobutyrate degradation V
PWY6666-2	dopamine degradation
PWY0-1477	ethanolamine utilization
PWY-6534	phenylethylamine degradation II
PWY-6181	histamine degradation
PWY-5736	isopropylamine degradation
PWY-3661	glycine betaine degradation
P561-PWY	stachydrine degradation
2PHENDEG-PWY	phenylethylamine degradation I
PWY0-1324	N-acetylneuraminate and N-acetylmannosamine degradation
PWY-6968	trimethylamine degradation
PWY-6814	acidification and chitin degradation (in carnivorous plants)
PWY-761	rhizobactin 1021 biosynthesis
PWY-6574	achromobactin biosynthesis
PWY-6409	pyoverdine I biosynthesis
PWY-6408	pyochelin biosynthesis
PWY-6407	yersiniabactin biosynthesis
PWY-6381	bisucaberin biosynthesis
PWY-6379	alcaligin biosynthesis
PWY-6378	putrebactin biosynthesis
PWY-6376	desferrioxamine B biosynthesis
PWY-6375	desferrioxamine E biosynthesis
PWY-6289	petrobactin biosynthesis
PWY-5925	hydroxylated mugineic acid phytosiderophore biosynthesis
PWY-5912	2-deoxymugineic acid phytosiderophore biosynthesis
AEROBACTINSYN-PWY	aerobactin biosynthesis
PWY-5002	tetrahydroxyxanthone biosynthesis (from 3-hydroxybenzoate)
PWY-5001	tetrahydroxyxanthone biosynthesis (from benzoate)
PWY-6115	avenacin biosynthesis
PWY-6109	mangrove triterpenoid biosynthesis
PWY-6105	C30 botryococcene biosynthesis
PWY-6098	diploterol and cycloartenol biosynthesis
PWY-6095	dammara-20,24-diene biosynthesis
PWY-6008	baruol biosynthesis
PWY-6007	arabidiol biosynthesis
PWY-6005	marneral biosynthesis
PWY-5992	thalianol and derivatives biosynthesis
PWY-5774	saponin biosynthesis IV
PWY-5759	saponin biosynthesis III
PWY-5756	saponin biosynthesis II
PWY-5672	ginsenoside biosynthesis
PWY-5377	alpha-amyrin biosynthesis
PWY-5203	soybean saponin I biosynthesis
PWY-112	lupeol biosynthesis
PWY-6681	neurosporaxanthin biosynthesis
PWY-5398	crocetin esters biosynthesis
PWY-5397	crocetin biosynthesis
PWY-5305	bixin biosynthesis
PWY-6244	bergamotene biosynthesis II
PWY-6243	bergamotene biosynthesis I
PWY-6836	santalene biosynthesis II
PWY-6669	delta-guaiene biosynthesis
PWY-6540	costunolide biosynthesis
PWY-6294	selinene biosynthesis
PWY-6291	valencene and 7-epi-alpha-selinene biosynthesis
PWY-6290	beta-cubebene biosynthesis
PWY-6278	botrydial biosynthesis
PWY-6275	beta-caryophyllene biosynthesis
PWY-6271	eudesmol biosynthesis
PWY-6265	zerumbone biosynthesis
PWY-6258	patchoulol biosynthesis
PWY-6257	curcumene biosynthesis
PWY-6254	santalene biosynthesis I
PWY-6128	cis-calamenene related sesquiterpenoids biosynthesis
PWY-5950	geosmin biosynthesis
PWY-5773	gossypol biosynthesis
PWY-5733	germacrene biosynthesis
PWY-5725	farnesene biosynthesis
PWY-5434	(3E)-4,8-dimethylnona-1,3,7-triene biosynthesis
PWY-5425	oleoresin sesquiterpene volatiles biosynthesis
PWY-5195	artemisinin biosynthesis
PWY-5815	rubber biosynthesis
PWY2OL-4	linalool biosynthesis
PWY-6668	(E,E)-4,8,12-trimethyltrideca-1,3,7,11-tetraene biosynthesis
PWY-6451	3-carene biosynthesis
PWY-6449	fenchone biosynthesis
PWY-6447	trichome monoterpenes biosynthesis
PWY-6445	fenchol biosynthesis II
PWY-6437	fenchol biosynthesis I
PWY-6436	perillyl alcohol biosynthesis
PWY-5928	(4R)-carvone biosynthesis
PWY-5829	geraniol and geranial biosynthesis
PWY-5813	bornyl diphosphate biosynthesis
PWY-5423	oleoresin monoterpene volatiles biosynthesis
PWY-3061	menthol biosynthesis
PWY-3041	monoterpene biosynthesis
PWY-6913	methylbutenol biosynthesis
PWY-5422	isopimaric acid biosynthesis
PWY-5421	dehydroabietic acid biosynthesis
PWY-5414	palustric acid biosynthesis
PWY-5413	neoabietic acid biosynthesis
PWY-5412	levopimaric acid biosynthesis
PWY-5411	abietic acid biosynthesis
PWY-5063	phytyl diphosphate biosynthesis
PWY-6691	plaunotol biosynthesis
PWY-6659	fusicoccins biosynthesis
PWY-6645	labdane-type diterpenes biosynthesis
PWY-6304	casbene biosynthesis
PWY-5660	taxol biosynthesis
PWY-5107	phytol salvage pathway
PWY-6475	trans-lycopene biosynthesis II (plants)
PWY-6809	neoxanthin biosnythesis
PWY-6581	spirilloxanthin and 2,2-diketo-spirilloxanthin biosynthesis
PWY-6288	zeaxanthin-beta-D-diglucoside biosynthesis
PWY-6287	neurosporene biosynthesis
PWY-6286	spheroidene and spheroidenone biosynthesis
PWY-6280	synechoxanthin biosynthesis
PWY-6279	myxol-2 fucoside biosynthesis
PWY-5947	lutein biosynthesis
PWY-5946	delta-carotene biosynthesis
PWY-5945	antheraxanthin and violaxanthin biosynthesis
PWY-5944	zeaxanthin biosynthesis
PWY-5943	beta-carotene biosynthesis
PWY-5291	canthaxanthin biosynthesis
PWY-5288	astaxanthin biosynthesis
PWY-5175	lactucaxanthin biosynthesis
PWY-5174	capsanthin and capsorubin biosynthesis
PWY-6767	4,4-diapolycopenedioate biosynthesis
PWY-5875	staphyloxanthin biosynthesis
PWY-5828	lacinilene C biosynthesis
PWY-5827	heliocides biosynthesis
PWY-6295	olivetol biosynthesis
PWY-5808	hyperforin biosynthesis
PWY-5140	cannabinoid biosynthesis
PWY-5133	cohumulone biosynthesis
PWY-5132	humulone biosynthesis
PWY-6372	1D-myo-inositol hexakisphosphate biosynthesis IV (Dictyostelium)
PWY-4661	1D-myo-inositol hexakisphosphate biosynthesis III (Spirodela polyrrhiza)
PWY-6554	1D-myo-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)
PWY-6362	1D-myo-inositol hexakisphosphate biosynthesis II (mammalian)
PWY-6361	1D-myo-inositol hexakisphosphate biosynthesis I  (from Ins(1,4,5)P3)
PWY-2301	myo-inositol biosynthesis
PWY-6369	inositol pyrophosphates biosynthesis
PWY-6366	D-myo-inositol (1,4,5,6)-tetrakisphosphate biosynthesis
PWY-6365	D-myo-inositol (3,4,5,6)-tetrakisphosphate biosynthesis
PWY-6364	D-myo-inositol (1,3,4)-trisphosphate biosynthesis
PWY-6363	D-myo-inositol (1,4,5)-trisphosphate degradation
PWY-6351	D-myo-inositol (1,4,5)-trisphosphate biosynthesis
PWY-5338	galactosylcyclitol biosynthesis
PWY-5978	kanosamine biosynthesis
PWY-5380	A series fagopyritols biosynthesis
PWY-5379	B series fagopyritols biosynthesis
PWY-6627	salinosporamide A biosynthesis
PWY-6438	phenylphenalenone biosynthesis
PWY-6316	aromatic polyketides biosynthesis
PWY-6314	plumbagin biosynthesis
PWY-6312	barbaloin biosynthesis
PWY-6310	aloesone biosynthesis II
PWY-5810	usnate biosynthesis
PWY-5393	raspberry ketone biosynthesis
PWY-4801	aloesone biosynthesis I
PWY-12	pentaketide chromone biosynthesis
PWY-6888	zealexin biosynthesis
PWY-2961	sesquiterpenoid phytoalexins biosynthesis
PWY-2921	capsidiol biosynthesis
PWY-2981	diterpene phytoalexins precursors biosynthesis
CAMALEXIN-SYN	camalexin biosynthesis
PWY-6418	4-hydroxycoumarin biosynthesis
PWY-5477	gallotannin biosynthesis
PWY-5476	cornusiin E biosynthesis
PWY-5475	pentagalloylglucose biosynthesis
PWY-84	resveratrol biosynthesis
PWY-6939	tetrahydroxystilbenes biosynthesis
PWY-6665	pterostilbene biosynthesis
PWY-5045	pinosylvin metabolism
PWY-5987	sorgoleone biosynthesis
PWY-5802	alizarin biosynthesis
PWY-5801	lawsone biosynthesis
PWY-5795	juglone biosynthesis
PWY-5780	hypericin biosynthesis
PWY-5701	shikonin biosynthesis
PWY-5371	chrysophanol biosynthesis
PWY-116	coniferin metabolism
PWY-83	monolignol glucosides biosynthesis
PWY-6302	dihydroconiferyl alcohol biosynthesis
PWY-6824	justicidin B biosynthesis
PWY-6820	diphyllin biosynthesis
PWY-5479	podophyllotoxin and 6-methoxypodophyllotoxin biosynthesis
PWY-5469	sesamin biosynthesis
PWY-5466	matairesinol biosynthesis
PWY-641	proanthocyanidin biosynthesis from flavanols
PWY-6914	sophoraflavanone G biosynthesis
PWY-5135	xanthohumol biosynthesis
PWY1F-823	leucopelargonidin and leucocyanidin biosynthesis
PWY-5152	leucodelphinidin biosynthesis
PWY-6427	rot-2-enonate biosynthesis
PWY-6425	rotenoid biosynthesis II
PWY-5775	rotenoid biosynthesis I
PWY-6332	coumestrol biosynthesis
PWY-5825	dalpatein and dalnigrein biosynthesis
PWY-5821	dalcochinin biosynthesis
PWY-5729	vestitol and sativan biosynthesis
PWY-5061	6,7,4-trihydroxyisoflavone biosynthesis
PWY-4681	kievitone biosynthesis
PWY-4502	wighteone and luteone biosynthesis
PWY-3042	phaseollin biosynthesis
PWY-2762	glyceollin biosynthesis II
PWY-2761	glyceollin biosynthesis I
PWY-2467	pisatin biosynthesis
PWY-2464	maackiain biosynthesis
PWY-2463	medicarpin biosynthesis
PWY-2321	formononetin biosynthesis
PWY-2083	isoflavonoid biosynthesis II
PWY-2002	isoflavonoid biosynthesis I
PWY-6631	O -methylation of tricetin
PWY-6360	flavonol glucosylation I
PWY-6199	quercetinsulphates biosynthesis
PWY-6064	methylquercetin biosynthesis
PWY-6035	2,3-cis-flavanols biosynthesis
PWY-5391	syringetin biosynthesis
PWY-5390	rutin biosynthesis
PWY-5363	chrysin biosynthesis
PWY-5348	kaempferol triglucoside biosynthesis
PWY-5321	quercetin glucoside biosynthesis (Arabidopsis)
PWY-5320	kaempferol glucoside biosynthesis (Arabidopsis)
PWY-5059	pinobanksin biosynthesis
PWY-3101	flavonol biosynthesis
PWY-6239	luteolin glycosides biosynthesis
PWY-6024	isovitexin and isovitexin glycosides biosynthesis
PWY-6015	vitexin and detivatives biosynthesis
PWY-6010	apigenin glycosides biosynthesis
PWY-5793	maysin biosynthesis
PWY-5119	acacetin biosynthesis
PWY-5060	luteolin biosynthesis
PWY-6602	C-glycosylflavone biosynthesis
PWY-5118	ponciretin biosynthesis
PWY-5116	sakuranetin biosynthesis
PWY-5105	hesperitin glycoside biosynthesis
PWY-5094	naringenin glycoside biosynthesis
PWY-6325	echinatin biosynthesis
PWY-5339	chalcone 2-O-glucoside biosynthesis
PWY-5161	6-deoxychalcone metabolism
PWY-6401	hispidol biosynthesis
PWY-1901	aurone biosynthesis
PWY-5307	gentiodelphin biosynthesis
PWY-5295	ternatin C5 biosynthesis
PWY-5286	anthocyanidin sophoroside metabolism
PWY-5284	shisonin biosynthesis
PWY-5268	salvianin biosynthesis
PWY-5160	rose anthocyanin biosynthesis
PWY-5153	anthocyanin biosynthesis (delphinidin 3-O-glucoside)
PWY-5139	pelargonidin conjugates biosynthesis
PWY-5125	anthocyanin biosynthesis (pelargonidin 3-O-glucoside, cyanidin 3-O-glucoside)
PWY1F-FLAVSYN	flavonoid biosynthesis
PWY-6787	flavonoid biosynthesis (in equisetum)
PWY-6515	phloridzin biosynthesis
PWY-6232	chrysoeriol biosynthesis
PWY-6029	2,3-trans-flavanols biosynthesis
PWY-5319	coumarin metabolism (to melilotic acid)
PWY-4922	6-methoxymellein biosynthesis
PWY-6792	scopoletin biosynthesis
PWY-5365	linear furanocoumarin biosynthesis
PWY-5349	esculetin biosynthesis
PWY-5176	coumarin biosynthesis (via 2-coumarate)
PWY1F-467	phenylpropanoid biosynthesis, initial reactions
PWY-6040	chlorogenic acid biosynthesis II
PWY-6039	chlorogenic acid biosynthesis I
PWY-5968	cinnamate esters biosynthesis
PWY-5867	t-anethole biosynthesis
PWY-5859	eugenol and isoeugenol biosynthesis
PWY-5168	ferulate and sinapate biosynthesis
PWY-5049	rosmarinic acid biosynthesis II
PWY-5048	rosmarinic acid biosynthesis I
PWY-4421	curcumin glucoside biosynthesis
PWY-4201	volatile cinnamoic ester biosynthesis
PWY-3301	sinapate ester biosynthesis
PWY-2181	free phenylpropanoid acid biosynthesis
PWY-4203	volatile benzenoid biosynthesis I (ester formation)
PWY-6766	salicin biosynthesis
PWY-6763	salicortin biosynthesis
PWY-6444	benzoate biosynthesis II (CoA-independent, non-beta-oxidative)
PWY-6835	6-gingerol biosynthesis
PWY-6801	volatile esters biosynthesis (during fruit ripening)
PWY-6673	caffeoylglucarate biosynthesis
PWY-5882	epoxypseudoisoeugenol-2-methylbutyrate biosynthesis
PWY-5665	vanilla biosynthesis
PWY-5021	willardiine and isowillardiine biosynthesis
PWY-5	canavanine biosynthesis
PWY-4985	mimosine biosynthesis
PWY-4961	beta-pyrazole-1-ylalanine biosynthesis
PWY-1	lathyrine biosynthesis
PWYQT-4475	glucosinolate biosynthesis from hexahomomethionine
PWYQT-4474	glucosinolate biosynthesis from pentahomomethionine
PWYQT-4473	glucosinolate biosynthesis from tetrahomomethionine
PWYQT-4472	glucosinolate biosynthesis from trihomomethionine
PWYQT-4471	glucosinolate biosynthesis from dihomomethionine
PWYQT-4450	aliphatic glucosinolate biosynthesis, side chain elongation cycle
PWY-601	glucosinolate biosynthesis from tryptophan
PWY-2821	glucosinolate biosynthesis from phenylalanine
PWY-1187	glucosinolate biosynthesis from homomethionine
PWY-861	dhurrin biosynthesis
PWY-5990	lotaustralin biosynthesis
PWY-3022	linamarin biosynthesis
PWY-5388	N-glucosylnicotinate metabolism
PWY-5846	colchicine biosynthesis
PWY-5843	cocaine biosynthesis
PWY-5318	calystegine biosynthesis
PWY-5317	hyoscyamine and scopolamine biosynthesis
PWY-5468	lupanine biosynthesis
PWY-6326	camptothecin biosynthesis
PWY-5848	cinchona alkaloids biosynthesis
PWY-6852	senecionine N-oxide biosynthesis
PWY-5752	piperine biosynthesis
PWY-5316	nicotine biosynthesis
PWY-5110	trigonelline biosynthesis
PWY-5038	caffeine biosynthesis II (via paraxanthine)
PWY-5037	caffeine biosynthesis I
PWY-5040	theobromine biosynthesis II (via xanthine)
PWY-5039	theobromine biosynthesis I
PWY-6337	dehydroscoulerine biosynthesis
PWY-6133	(S)-reticuline biosynthesis II
PWY-5876	magnoflorine biosynthesis
PWY-5472	bisbenzylisoquinoline alkaloid biosynthesis
PWY-5471	laudanine biosynthesis
PWY-5470	palmatine biosynthesis
PWY-5287	sanguinarine and macarpine biosynthesis
PWY-5270	morphine biosynthesis
PWY-3901	berberine biosynthesis
PWY-3581	(S)-reticuline biosynthesis I
PWY-6495	ergotamine biosynthesis
PWY-6493	agroclavine biosynthesis
PWY-5877	beta-carboline biosynthesis
PWY-5467	gramine biosynthesis
PWY-5439	betacyanin biosynthesis (via dopamine)
PWY-5426	betaxanthin biosynthesis
PWY-5404	betaxanthin biosynthesis (via dopaxanthin)
PWY-5403	betaxanthin biosynthesis (via dopamine)
PWY-5400	amaranthin biosynthesis
PWY-5399	betacyanin biosynthesis
PWY-5394	betalamic acid biosynthesis
PWY-5301	ajmaline and sarpagine biosynthesis
PWY-5292	vindoline and vinblastine biosynthesis
PWY-5290	secologanin and strictosidine biosynthesis
PWY-6923	ricinine degradation
PWY-6479	fumigaclavine C biosynthesis
PWY-6027	capsiconiate biosynthesis
PWY-5958	acridone alkaloid biosynthesis
PWY-5883	ephedrine biosynthesis
PWY-5748	gamma-coniciene and coniine biosynthesis
PWY-5710	capsaicin biosynthesis
PWY-5666	steroidal glycoalkaloid biosynthesis
PWY-5315	N-methyl-Delta1-pyrrolinium cation biosynthesis
PWY-6448	hordatine biosynthesis
PWY-6442	spermidine hydroxycinnamic acid conjugates biosynthesis
PWY-5474	hydroxycinnamic acid tyramine amides biosynthesis
PWY-5473	hydroxycinnamic acid serotonin amides biosynthesis
PWY-3181	tryptophan degradation VI (via tryptamine)
PWY-5409	divinyl ether biosynthesis II
PWY-5406	divinyl ether biosynthesis I
PWY-5410	traumatin and (Z)-3-hexen-1-yl acetate biosynthesis
PWY-5408	9-lipoxygenase and 9-hydroperoxide lyase pathway
PWY-5407	9-lipoxygenase and 9-allene oxide synthase pathway
PWY1A0-6325	actinorhodin biosynthesis
PWY-6975	erythromycin biosynthesis
PWY-6971	oleandomycin biosynthesis
PWY-6955	lincomycin biosynthesis
PWY-6919	neopentalenoketolactone and pentalenate biosynthesis
PWY-6915	pentalenolactone biosynthesis
PWY-6722	candicidin biosynthesis
PWY-6721	sangivamycin biosynthesis
PWY-6720	toyocamycin biosynthesis
PWY-6682	dehydrophos biosynthesis
PWY-6679	jadomycin biosynthesis
PWY-6666	pyocyanin biosynthesis
PWY-6511	3-methylarginine biosynthesis
PWY-6346	staurosporine biosynthesis
PWY-6345	K-252 biosynthesis
PWY-6324	rebeccamycin biosynthesis
PWY-6322	phosphinothricin tripeptide biosynthesis
PWY-6003	gramicidin S biosynthesis
PWY-5984	rifamycin B biosynthesis
PWY-5940	streptomycin biosynthesis
PWY-5930	terpentecin biosynthesis
PWY-5929	puromycin biosynthesis
PWY-5887	albaflavenone biosynthesis
PWY-5818	validamycin A biosynthesis
PWY-5776	2-hydroxyphenazine biosynthesis
PWY-5770	phenazine-1-carboxylate biosynthesis
PWY-5757	fosfomycin biosynthesis
PWY-5737	(5R)-carbapenem biosynthesis
PWY-5679	clavulanate biosynthesis
PWY-5633	cephamycin C biosynthesis
PWY-5632	cephalosporin C biosynthesis
PWY-5631	deacetylcephalosporin C biosynthesis
PWY-5630	penicillin K biosynthesis
PWY-5629	isopenicillin N biosynthesis
PWY-6950	DIMBOA-glucoside biosynthesis
PWY-6949	DIBOA-glucoside biosynthesis
PWY-6926	pyrethrin I biosynthesis
PWY-6920	6-gingerol analog biosynthesis
PWY-6839	2-aminoethylphosphonate biosynthesis
PWY-6831	pyrrolnitrin biosynthesis
PWY-6808	dTDP-D-forosamine biosynthesis
PWY-6802	salidroside biosynthesis
PWY-6703	preQ0 biosynthesis
PWY-6699	oxalate biosynthesis
PWY-6661	4-hydroxy-2(1H)-quinolone biosynthesis
PWY-6660	2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis
PWY-6644	fluoroacetate and fluorothreonine biosynthesis
PWY-6585	methylketone biosynthesis
PWY-6069	indigo biosynthesis
PWY-6068	indican biosynthesis
PWY-5979	3-amino-5-hydroxybenzoate biosynthesis
PWY-5975	furaneol biosynthesis
PWY-5960	aflatoxins B2 and G2 biosynthesis
PWY-5959	aflatoxins B1 and G1 biosynthesis
PWY-5956	sterigmatocystin biosynthesis
PWY-5955	versicolorin B biosynthesis
PWY-5954	(1S,5S)-averufin biosynthesis
PWY-5935	tuberculosinol biosynthesis
PWY-5826	hypoglycin biosynthesis
PWY-5751	phenylethanol biosynthesis
UDPNACETYLGALSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis II
PWY-6834	spermidine biosynthesis III
PWY-6559	spermidine biosynthesis II
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I
PWY-6305	putrescine biosynthesis IV
PWY-46	putrescine biosynthesis III
PWY-43	putrescine biosynthesis II
PWY-40	putrescine biosynthesis I
PWY1F-353	glycine betaine biosynthesis III (plants)
PWY-6004	glycine betaine biosynthesis V (from glycine)
PWY-3722	glycine betaine biosynthesis II (Gram-positive bacteria)
P541-PWY	glycine betaine biosynthesis IV (from glycine)
BETSYN-PWY	glycine betaine biosynthesis I (Gram-negative bacteria)
PWY-4021	beta-alanine betaine biosynthesis
CHOLINE-BETAINE-ANA-PWY	choline degradation I
TRYPANOSYN-PWY	trypanothione biosynthesis
PWY0-823	arginine degradation III (arginine decarboxylase/agmatinase pathway)
PWY0-1303	aminopropylcadaverine biosynthesis
PWY-6562	norspermidine biosynthesis
PWY-6456	serinol biosynthesis
PWY-6173	histamine biosynthesis
PWY-5907	homospermidine biosynthesis
PWY-5695	urate biosynthesis/inosine 5-phosphate degradation
P101-PWY	ectoine biosynthesis
GLYCGREAT-PWY	glycine degradation (creatine biosynthesis)
