short_name	long_name
PWY-601	glucosinolate biosynthesis from tryptophan
PWYQT-4471	glucosinolate biosynthesis from dihomomethionine
PWY-5666	steroidal glycoalkaloid biosynthesis
PWY-6027	capsiconiate biosynthesis
PWY-5315	N-methyl-Delta1-pyrrolinium cation biosynthesis
PWY-6503	superpathway of ergotamine biosynthesis
PWY-5958	acridone alkaloid biosynthesis
PWY-7138	noscapine biosynthesis
PWY-5883	ephedrine biosynthesis
PWY-5710	capsaicin biosynthesis
PWY-6923	ricinine degradation
PWY-5748	gamma-coniciene and coniine biosynthesis
PWY-7135	emetine biosynthesis
PWY-5468	lupanine biosynthesis
PWY-5403	betaxanthin biosynthesis (via dopamine)
PWY-5394	betalamic acid biosynthesis
PWY-5399	betacyanin biosynthesis
PWY-5400	amaranthin biosynthesis
PWY-5426	betaxanthin biosynthesis
PWY-5439	betacyanin biosynthesis (via dopamine)
PWY-5405	superpathway of betalain biosynthesis
PWY-5404	betaxanthin biosynthesis (via dopaxanthin)
PWY-5470	palmatine biosynthesis
PWY-5471	laudanine biosynthesis
PWY-5472	bisbenzylisoquinoline alkaloid biosynthesis
PWY-6337	dehydroscoulerine biosynthesis
PWY-5270	morphine biosynthesis
PWY-5287	sanguinarine and macarpine biosynthesis
PWY-3901	berberine biosynthesis
PWY-5876	magnoflorine biosynthesis
PWY-6133	(S)-reticuline biosynthesis II
PWY-3581	(S)-reticuline biosynthesis I
PWY-6852	senecionine N-oxide biosynthesis
PWY-5752	piperine biosynthesis
PWY-5316	nicotine biosynthesis
PWY-5843	cocaine biosynthesis
PWY-5318	calystegine biosynthesis
PWY-5317	hyoscyamine and scopolamine biosynthesis
PWY-5846	colchicine biosynthesis
PWY-6493	chanoclavine I aldehyde biosynthesis
PWY-7059	fumigaclavine biosynthesis
PWY-5877	beta-carboline biosynthesis
PWY-6495	ergotamine biosynthesis
PWY-5467	gramine biosynthesis
PWY-6326	camptothecin biosynthesis
PWY-5848	cinchona alkaloids biosynthesis
PWY-5039	theobromine biosynthesis I
PWY-5040	theobromine biosynthesis II (via xanthine)
PWY-5038	caffeine biosynthesis II (via paraxanthine)
PWY-5037	caffeine biosynthesis I
CAMALEXIN-SYN	camalexin biosynthesis
PWY-5380	A series fagopyritols biosynthesis
PWY-5978	kanosamine biosynthesis
PWY-5379	B series fagopyritols biosynthesis
PWY-6351	D-myo-inositol (1,4,5)-trisphosphate biosynthesis
PWY-6365	D-myo-inositol (3,4,5,6)-tetrakisphosphate biosynthesis
PWY-5338	galactosylcyclitol biosynthesis
PWY-6364	D-myo-inositol (1,3,4)-trisphosphate biosynthesis
PWY-6369	inositol pyrophosphates biosynthesis
PWY-6366	D-myo-inositol (1,4,5,6)-tetrakisphosphate biosynthesis
PWY-6363	D-myo-inositol (1,4,5)-trisphosphate degradation
PWY-6367	D-myo-inositol-5-phosphate metabolism
PWY-6371	superpathway of inositol phosphate compounds
PWY-6358	superpathway of D-myo-inositol (1,4,5)-trisphosphate metabolism
PWY-2301	myo-inositol biosynthesis
PWY-6555	superpathway of 1D-myo-inositol hexakisphosphate biosynthesis (plants)
PWY-6361	1D-myo-inositol hexakisphosphate biosynthesis I  (from Ins(1,4,5)P3)
PWY-4661	1D-myo-inositol hexakisphosphate biosynthesis III (Spirodela polyrrhiza)
PWY-6372	1D-myo-inositol hexakisphosphate biosynthesis IV (Dictyostelium)
PWY-6554	1D-myo-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)
PWY-6362	1D-myo-inositol hexakisphosphate biosynthesis II (mammalian)
PWY-6977	superpathway of erythromycin biosynthesis
PWY-5929	puromycin biosynthesis
PWY-6955	lincomycin biosynthesis
PWY-5629	isopenicillin N biosynthesis
PWY-6346	staurosporine biosynthesis
PWY-5930	terpentecin biosynthesis
PWY-5679	clavulanate biosynthesis
PWY-6682	dehydrophos biosynthesis
PWY-6003	gramicidin S biosynthesis
PWY-5776	2-hydroxyphenazine biosynthesis
PWY-5737	(5R)-carbapenem biosynthesis
PWY-6975	superpathway of erythromycin biosynthesis
PWY-6971	oleandomycin biosynthesis
PWY-6720	toyocamycin biosynthesis
PWY-6679	jadomycin biosynthesis
PWY-6915	pentalenolactone biosynthesis
PWY-7108	erythromycin A biosynthesis
PWY-5630	penicillin K biosynthesis
PWY-7110	superpathway of megalomicin A biosynthesis
PWY-6666	pyocyanin biosynthesis
PWY-6721	sangivamycin biosynthesis
PWY-5631	deacetylcephalosporin C biosynthesis
PWY-5633	cephamycin C biosynthesis
PWY-6322	phosphinothricin tripeptide biosynthesis
PWY-5940	streptomycin biosynthesis
PWY-7018	paromomycin biosynthesis
PWY-5757	fosfomycin biosynthesis
PWY-5632	cephalosporin C biosynthesis
PWY-7015	ribostamycin biosynthesis
PWY-7016	neomycin biosynthesis
PWY1A0-6325	actinorhodin biosynthesis
PWY-5887	albaflavenone biosynthesis
PWY-7021	superpathway of neomycin biosynthesis
PWY-6345	K-252 biosynthesis
PWY-5634	superpathway of penicillin, cephalosporin and cephamycin biosynthesis
PWY-6324	rebeccamycin biosynthesis
PWY-5993	superpathway of rifamycin B biosynthesis
PWY-7000	kanamycin biosynthesis
PWY-7106	erythromycin D biosynthesis
PWY-5984	rifamycin B biosynthesis
PWY-7045	mithramycin biosynthesis
PWY-7109	megalomicin A biosynthesis
PWY-7025	gentamicin biosynthesis
PWY-5818	validamycin A biosynthesis
PWY-6511	3-methylarginine biosynthesis
PWY-7020	superpathway of butirocin biosynthesis
PWY-6919	neopentalenoketolactone and pentalenate biosynthesis
PWY-5770	phenazine-1-carboxylate biosynthesis
PWY-7019	butirosin biosynthesis
PWY-6722	candicidin biosynthesis
PWY-7022	paromamine biosynthesis II
PWY-7014	paromamine biosynthesis I
PWY-6308	cysteine biosynthesis II (RNA-dependent)
PWY490-4	asparagine biosynthesis III (tRNA-dependent)
PWY-5921	L-glutamine biosynthesis II (tRNA-dependent)
PWY-6405	Rapoport-Luebering glycolytic shunt
PPGPPMET-PWY	ppGpp biosynthesis
PWY-6158	creatine-phosphate biosynthesis
PWY-6100	L-carnitine biosynthesis
PWY-6845	nitric oxide biosynthesis (plants)
PWY-4983	citrulline-nitric oxide cycle
PWY-7208	superpathway of pyrimidine nucleobases salvage
PWY-7199	pyrimidine deoxyribonucleosides salvage
PWY-7183	pyrimidine nucleobases salvage I
PWY-7200	superpathway of pyrimidine deoxyribonucleoside salvage
PWY-7195	pyrimidine ribonucleosides salvage III
PWY-7196	superpathway of pyrimidine ribonucleosides salvage
PWY-7205	CMP phosphorylation
PWY-7193	pyrimidine ribonucleosides salvage I
PWY-6556	pyrimidine ribonucleosides salvage II
PWY-7194	pyrimidine nucleobases salvage II
PWY-5686	UMP biosynthesis
PWY0-162	superpathway of pyrimidine ribonucleotides de novo biosynthesis
PWY-7176	UTP and CTP de novo biosynthesis
PWY0-166	superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)
PWY-7187	pyrimidine deoxyribonucleotides de novo biosynthesis II
PWY-7211	superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis
PWY-6794	adenosine 5-phosphoramidate biosynthesis
SALVPURINE2-PWY	xanthine and xanthosine salvage
PWY-5043	purine nucleosides salvage II (plant)
P121-PWY	adenine and adenosine salvage I
PWY-6611	adenine and adenosine salvage V
PWY-6610	adenine and adenosine salvage IV
PWY-6605	adenine and adenosine salvage II
PWY-6619	adenine and adenosine salvage VI
PWY-6609	adenine and adenosine salvage III
PWY-6599	guanine and guanosine salvage II
PWY-6579	superpathway of guanine and guanosine salvage
PWY-6620	guanine and guanosine salvage I
PWY-6618	guanine and guanosine salvage III
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I
PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II
PWY-6125	guanosine nucleotides de novo biosynthesis
PWY-6126	adenosine nucleotides de novo biosynthesis
DENOVOPURINE2-PWY	purine nucleotides de novo biosynthesis I
PWY-841	purine nucleotides de novo biosynthesis II
PWY-6124	inosine-5-phosphate biosynthesis II
PWY-6123	inosine-5-phosphate biosynthesis I
PWY-6700	queuosine biosynthesis
PWY0-1479	tRNA processing
PWY-6689	tRNA splicing
PWY-6711	archaeosine biosynthesis
PWY-724	superpathway of lysine, threonine and methionine biosynthesis II
PWY-6628	superpathway of phenylalanine biosynthesis
COMPLETE-ARO-PWY	superpathway of phenylalanine, tyrosine, and tryptophan biosynthesis
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of leucine, valine, and isoleucine biosynthesis
PWY-6629	superpathway of tryptophan biosynthesis
SER-GLYSYN-PWY	superpathway of serine and glycine biosynthesis I
PWY-5905	hypusine biosynthesis
P4-PWY	superpathway of lysine, threonine and methionine biosynthesis I
PWY-6630	superpathway of tyrosine biosynthesis
PWY-3481	superpathway of phenylalanine and tyrosine biosynthesis
PWY-821	superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)
PWY-6482	diphthamide biosynthesis
GLYSYN-ALA-PWY	glycine biosynthesis III
GLYSYN-THR-PWY	glycine biosynthesis IV
GLYCINE-SYN2-PWY	glycine biosynthesis II
GLYSYN-PWY	glycine biosynthesis I
THREOCAT-PWY	superpathway of threonine metabolism
PROSYN-PWY	proline biosynthesis I
ARG-PRO-PWY	arginine degradation VI (arginase 2 pathway)
PWY-4981	proline biosynthesis II (from arginine)
PWY-3341	proline biosynthesis III
PWY-4281	proline biosynthesis IV
ASPARTATESYN-PWY	aspartate biosynthesis
GLUTDEG-PWY	glutamate degradation II
ARGASEDEG-PWY	arginine degradation I (arginase pathway)
GLUTAMATE-SYN2-PWY	glutamate biosynthesis II
GLUTSYN-PWY	glutamate biosynthesis I
GLUTSYNIII-PWY	glutamate biosynthesis III
PWY-4341	glutamate biosynthesis V
GLUGLNSYN-PWY	glutamate biosynthesis IV
PWY0-1061	superpathway of alanine biosynthesis
ALANINE-VALINESYN-PWY	alanine biosynthesis I
ALANINE-SYN2-PWY	alanine biosynthesis II
PWY0-1021	alanine biosynthesis III
TRPSYN-PWY	tryptophan biosynthesis
PWY-6281	selenocysteine biosynthesis II (archaea and eukaryotes)
PWY0-901	selenocysteine biosynthesis I (bacteria)
LYSINE-AMINOAD-PWY	lysine biosynthesis IV
PWY-2942	lysine biosynthesis III
PWY-3081	lysine biosynthesis V
DAPLYSINESYN-PWY	lysine biosynthesis I
PWY-2941	lysine biosynthesis II
PWY-5097	lysine biosynthesis VI
HOMOSER-THRESYN-PWY	threonine biosynthesis from homoserine
THRESYN-PWY	threonine biosynthesis
ILEUSYN-PWY	isoleucine biosynthesis I (from threonine)
PWY-5103	isoleucine biosynthesis III
PWY-5104	isoleucine biosynthesis IV
PWY-5108	isoleucine biosynthesis V
PWY-3001	isoleucine biosynthesis I
PWY-5101	isoleucine biosynthesis II
TYRSYN	tyrosine biosynthesis I
PWY-3461	tyrosine biosynthesis II
PWY-6120	tyrosine biosynthesis III
PWY-6134	tyrosine biosynthesis IV
PWY-3941	beta-alanine biosynthesis II
PWY-3981	beta-alanine biosynthesis I
PWY-5760	beta-alanine biosynthesis IV
PWY-5155	beta-alanine biosynthesis III
PWY-3982	uracil degradation I (reductive)
HISTSYN-PWY	histidine biosynthesis
PWY-6994	pyrrolysine biosynthesis
LEUSYN-PWY	leucine biosynthesis
PWY-5344	homocysteine biosynthesis
PWY-1186	homomethionine biosynthesis
PWY-6922	L-Ndelta-acetylornithine biosynthesis
PWY-5957	nicotianamine biosynthesis
PWY-6395	superpathway of seleno-compound metabolism
PWY-5331	taurine biosynthesis
GLUTORN-PWY	ornithine biosynthesis
HOMOSERSYN-PWY	homoserine biosynthesis
PWY-4921	protein citrullination
PWY-5004	superpathway of citrulline metabolism
CITRULBIO-PWY	citrulline biosynthesis
PWY-3462	phenylalanine biosynthesis II
PHESYN	phenylalanine biosynthesis I
HOMOCYSDEGR-PWY	cysteine biosynthesis/homocysteine degradation
CYSTSYN-PWY	cysteine biosynthesis I
PWY-6292	cysteine biosynthesis III (mammalia)
PWY-801	homocysteine and cysteine interconversion
PWY-6293	cysteine biosynthesis IV (fungi)
PWY-5347	superpathway of methionine biosynthesis (transsulfuration)
HOMOSER-METSYN-PWY	methionine biosynthesis I
METSYN-PWY	homoserine and methionine biosynthesis
PWY-702	methionine biosynthesis II
HSERMETANA-PWY	methionine biosynthesis III
PWY-5441	S-methylmethionine cycle
PWY-5345	superpathway of methionine biosynthesis (by sulfhydrylation)
ADENOSYLHOMOCYSCAT-PWY	methionine salvage II (mammalia)
PWY-4361	methionine salvage I (bacteria and plants)
MET-SAM-PWY	superpathway of S-adenosyl-L-methionine biosynthesis
PWY-7174	S-methyl-5-thio-alpha-D-ribose 1-phosphate degradation II
PWY-6755	S-methyl-5-thio-alpha-D-ribose 1-phosphate degradation I
PWY-6151	S-adenosyl-L-methionine cycle I
PWY-5041	S-adenosyl-L-methionine cycle II
ARGININE-SYN4-PWY	arginine biosynthesis IV
ARGSYNBSUB-PWY	arginine biosynthesis II (acetyl cycle)
ARGSYN-PWY	arginine biosynthesis I
PWY-5154	arginine biosynthesis III
GLNSYN-PWY	glutamine biosynthesis I
PWY-6549	glutamine biosynthesis III
SERSYN-PWY	serine biosynthesis
PWY-6196	serine racemization
VALSYN-PWY	valine biosynthesis
ASPSYNII-PWY	cyanide detoxification I
ASPARAGINE-BIOSYNTHESIS	asparagine biosynthesis I
PWY0-1325	superpathway of asparagine biosynthesis
ASPARAGINESYN-PWY	asparagine biosynthesis II
GLYCGREAT-PWY	glycine degradation (creatine biosynthesis)
POLYAMSYN-PWY	superpathway of polyamine biosynthesis I
URSIN-PWY	ureide biosynthesis
POLYAMINSYN3-PWY	superpathway of polyamine biosynthesis II
ARGSPECAT-PWY	spermine biosynthesis
PWY-6456	serinol biosynthesis
PWY0-1303	aminopropylcadaverine biosynthesis
P101-PWY	ectoine biosynthesis
PWY-6565	superpathway of polyamine biosynthesis III
PWY0-823	arginine degradation III (arginine decarboxylase/agmatinase pathway)
PWY-5695	urate biosynthesis/inosine 5-phosphate degradation
PWY-6173	histamine biosynthesis
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis
PWY-4121	glutathionylspermidine biosynthesis
PWY-5907	homospermidine biosynthesis
PWY-6562	norspermidine biosynthesis
TRYPANOSYN-PWY	trypanothione biosynthesis
PWY-5514	UDP-N-acetyl-D-galactosamine biosynthesis II
PWY-5512	UDP-N-acetyl-D-galactosamine biosynthesis I
PWY-40	putrescine biosynthesis I
PWY-43	putrescine biosynthesis II
PWY-46	putrescine biosynthesis III
PWY-6305	putrescine biosynthesis IV
BETSYN-PWY	glycine betaine biosynthesis I (Gram-negative bacteria)
PWY-3722	glycine betaine biosynthesis II (Gram-positive bacteria)
CHOLINE-BETAINE-ANA-PWY	choline degradation I
P541-PWY	glycine betaine biosynthesis IV (from glycine)
P542-PWY	choline-O-sulfate degradation
PWY-4021	beta-alanine betaine biosynthesis
PWY1F-353	glycine betaine biosynthesis III (plants)
PWY-6004	glycine betaine biosynthesis V (from glycine)
PWY-6559	spermidine biosynthesis II
PWY-6834	spermidine biosynthesis III
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I
UDPNACETYLGALSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis II
UDPNAGSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis I
TRIGLSYN-PWY	triacylglycerol biosynthesis
PWY-5885	wax esters biosynthesis II
PWY-5148	acyl-CoA hydrolysis
PWY-5129	sphingolipid biosynthesis (plants)
PWY3DJ-12	ceramide biosynthesis
LPSSYN-PWY	superpathway of lipopolysaccharide biosynthesis
PWY-6453	stigma estolide biosynthesis
PWY-282	cuticular wax biosynthesis
PWY-5884	wax esters biosynthesis I
PWY-782	glycolipid desaturation
PWY-5143	fatty acid activation
PWY3DJ-11281	sphingomyelin metabolism
PWY-6129	dolichol and dolichyl phosphate biosynthesis
SPHINGOLIPID-SYN-PWY	sphingolipid biosynthesis (yeast)
NAGLIPASYN-PWY	lipid IVA biosynthesis
PWY-5142	acyl-ACP thioesterase pathway
SOPHOROSYLOXYDOCOSANOATE-SYN-PWY	sophorolipid biosynthesis
PWY-6804	diacylglycerol biosynthesis (PUFA enrichment in oilseed)
LIPA-CORESYN-PWY	Lipid A-core biosynthesis
PWY-6818	ornithine lipid biosynthesis
PWY-401	glycolipid biosynthesis
KDO-NAGLIPASYN-PWY	superpathway of (KDO)2-lipid A biosynthesis
PWYQT-4427	sulfolipid biosynthesis
PWY0-1264	biotin-carboxyl carrier protein assembly
KDO-LIPASYN-PWY	(KDO)2-lipid A biosynthesis I
PWY-321	cutin biosynthesis
PWY-6803	phosphatidylcholine acyl editing
PWY-4762	superpathway of choline biosynthesis
PWY-7036	very long chain fatty acid biosynthesis II
PWY-6285	superpathway of fatty acids biosynthesis (E. coli)
PWY-6284	superpathway of unsaturated fatty acids biosynthesis (E. coli)
PWY-5997	alpha-linolenate biosynthesis
PWY0-881	superpathway of fatty acid biosynthesis I (E. coli)
PWY-6113	superpathway of mycolate biosynthesis
PWY-4381	fatty acid biosynthesis initiation I
PWY-7094	fatty acid salvage
PWY-5965	fatty acid biosynthesis initiation III
PWY0-862	cis-dodecenoyl biosynthesis
PWY-6468	omega- hydroxylation of laurate
PWY-5970	fatty acids biosynthesis (yeast)
PWY-6710	poly-hydroxy fatty acids biosynthesis
FASYN-ELONG-PWY	fatty acid elongation -- saturated
PWYG-321	mycolate biosynthesis
PWY-5080	very long chain fatty acid biosynthesis I
PWY-6799	fatty acid biosynthesis (plant mitochondria)
PWY-6917	epoxy fatty acid biosynthesis
PWY-5973	cis-vaccenate biosynthesis
PWY-6465	omega-hydroxylation of caprate and laurate
PWY-5966	fatty acid biosynthesis initiation II
FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation (E. coli)
PWY-5156	superpathway of fatty acid biosynthesis II (plant)
PWY-5996	oleate biosynthesis II (animals and fungi)
PWY-6429	ricinoleate biosynthesis
PWY-5147	oleate biosynthesis I (plants)
PWY-6282	palmitoleate biosynthesis I
PWY-5366	palmitoleate biosynthesis II
PWY-5972	stearate biosynthesis I (animals)
PWY3O-355	stearate biosynthesis III (fungi)
PWY-5989	stearate biosynthesis II (bacteria and plants)
PWY-5361	Delta5-eicosenoate biosynthesis
PWY-7152	pinolenic acid and coniferonic acid biosynthesis
PWY-5353	arachidonate biosynthesis
PWY-6951	docosahexanoate biosynthesis II
PWY-5362	Delta6-hexadecenoate biosynthesis
PWY-6013	crepenynate biosynthesis
PWY-6433	hydroxylated fatty acid biosynthesis (plants)
PWY-7053	docosahexanoate biosynthesis I
PWY-5367	petroselinate biosynthesis
PWY-6598	sciadonate biosynthesis
PWY-6014	vernolate biosynthesis
PWY-6958	eicosapentaenoate biosynthesis I (algae and lower plants)
PWY-7049	eicosapentaenoate biosynthesis II (metazoa)
PWY-7050	eicosapentaenoate biosynthesis IV (bacteria)
PWY-6940	eicosapentaenoate biosynthesis III (fungi)
PWY-5373	calendate biosynthesis
PWY-5368	dimorphecolate biosynthesis
PWY-5374	punicic acid biosynthesis
PWY-5375	alpha-eleostearic acid biosynthesis
PWY0-541	cyclopropane fatty acid (CFA) biosynthesis
PWY-4942	cyclopropane and cyclopropene fatty acid biosynthesis
PWY-5995	linoleate biosynthesis I (plants)
PWY-6001	linoleate biosynthesis II (animals)
PWY-5971	palmitate biosynthesis II (bacteria and plants)
PWY-5994	palmitate biosynthesis I (animals and fungi)
PWY-6000	gamma-linolenate biosynthesis II (animals)
PWY-5998	gamma-linolenate biosynthesis I (plants)
PWY-6349	CDP-archaeol biosynthesis
PWY-6350	archaetidylinositol biosynthesis
PHOSLIPSYN2-PWY	phospholipid biosynthesis II
PHOSLIPSYN-PWY	phospholipid biosynthesis I
PWY-7039	phosphatidate metabolism, as a signaling molecule
PWY-6141	archaetidylserine and archaetidylethanolamine biosynthesis
PWY-6352	3-phosphoinositide biosynthesis
PWY-762	phospholipid desaturation
PWY4FS-7	phosphatidylglycerol biosynthesis I (plastidic)
PWY4FS-8	phosphatidylglycerol biosynthesis II (non-plastidic)
PWY-6580	L-1-phosphatidyl-inositol biosynthesis (Mycobacteria)
PWY-6826	phosphatidylcholine biosynthesis VI
PWY4FS-4	phosphatidylcholine biosynthesis IV
PWY4FS-3	phosphatidylcholine biosynthesis III
PWY3O-450	phosphatidylcholine biosynthesis I
PWY4FS-2	phosphatidylcholine biosynthesis II
PWY-6825	phosphatidylcholine biosynthesis V
PWY-5981	CDP-diacylglycerol biosynthesis III
PWY0-1319	CDP-diacylglycerol biosynthesis II
PWY-5667	CDP-diacylglycerol biosynthesis I
PWY-5669	phosphatidylethanolamine biosynthesis I
PWY-6273	phosphatidylethanolamine biosynthesis III
PWY4FS-6	phosphatidylethanolamine biosynthesis II
PWY-5269	cardiolipin biosynthesis II
PWY0-1545	cardiolipin biosynthesis III
PWY-5668	cardiolipin biosynthesis I
PWY-6467	Kdo transfer to lipid IVA II (Chlamydia)
KDOSYN-PWY	KDO transfer to lipid IVA I
PWY66-3	cholesterol biosynthesis II (via 24,25-dihydrolanosterol)
PWY66-341	cholesterol biosynthesis I
PWY-6074	zymosterol biosynthesis
PWY-6036	cardenolide glucosides biosynthesis
PWY-6424	sitosterol biosynthesis
PWY-6132	lanosterol biosynthesis
PWY-6061	bile acid biosynthesis, neutral pathway
PWY66-5	superpathway of cholesterol biosynthesis
PWY-7155	7-dehydroporiferasterol biosynthesis
PWY-6032	cardenolide biosynthesis
PWY66-4	cholesterol biosynthesis III (via desmosterol)
PWY-7156	superpathway of ergosterol biosynthesis II
PWY-7154	ergosterol biosynthesis II
ERGOSTEROL-SYN-PWY	superpathway of ergosterol biosynthesis I
PWY-6075	ergosterol biosynthesis I
PWY-3542	choline biosynthesis II
PWY-3561	choline biosynthesis III
PWY-3385	choline biosynthesis I
PWY-6374	vibriobactin biosynthesis
PWY-6407	yersiniabactin biosynthesis
PWY-6379	alcaligin biosynthesis
PWY-6381	bisucaberin biosynthesis
PWY-6409	pyoverdine I biosynthesis
PWY-6376	desferrioxamine B biosynthesis
PWY-6375	desferrioxamine E biosynthesis
PWY-5903	bacillibactin biosynthesis
AEROBACTINSYN-PWY	aerobactin biosynthesis
PWY-6574	achromobactin biosynthesis
PWY-5925	hydroxylated mugineic acid phytosiderophore biosynthesis
PWY-6289	petrobactin biosynthesis
PWY-761	rhizobactin 1021 biosynthesis
PWY-6378	putrebactin biosynthesis
PWY-6408	pyochelin biosynthesis
PWY-5912	2-deoxymugineic acid phytosiderophore biosynthesis
ENTBACSYN-PWY	enterobactin biosynthesis
ECASYN-PWY	enterobacterial common antigen biosynthesis
TEICHOICACID-PWY	teichoic acid (poly-glycerol) biosynthesis
PWY-6626	CDP-2-glycerol biosynthesis
PWY-6455	vancomycin resistance II
PWY-6397	mycolyl-arabinogalactan-peptidoglycan complex biosynthesis
PWY-6454	vancomycin resistance I
PWY-6404	superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis
PWY-6470	peptidoglycan biosynthesis V (beta-lactam resistance)
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)
PWY-6471	peptidoglycan biosynthesis IV (Enterococcus faecium)
PWY-5265	peptidoglycan biosynthesis II (staphylococci)
PWY-6385	peptidoglycan biosynthesis III (mycobacteria)
PWY-6463	peptidoglycan cross-bridge biosynthesis IV (Weissella viridescens)
PWY-6462	peptidoglycan cross-bridge biosynthesis III (Enterococcus faecalis)
PWY-6459	peptidoglycan cross-bridge biosynthesis I (S. aureus)
PWY-6461	peptidoglycan cross-bridge biosynthesis II (E. faecium)
PWY-6733	sporopollenin precursor biosynthesis
PWY-5800	xylan biosynthesis
PWY-6386	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)
PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-DAP-containing)
PWY0-1338	polymyxin resistance
OANTIGEN-PWY	O-antigen building blocks biosynthesis (E. coli)
PWY66-377	pregnenolone biosynthesis
PWY66-392	lipoxin biosynthesis
PWY-6076	1,25-dihydroxyvitamin D3 biosynthesis
PWY66-378	androgen biosynthesis
PWY66-380	estrogen biosynthesis
PWY-6241	thyroid hormone biosynthesis
PWY66-381	glucocorticoid biosynthesis
PWY66-382	mineralocorticoid biosynthesis
PWY66-395	aspirin triggered resolvin D biosynthesis
PWY-6030	serotonin and melatonin biosynthesis
PWY66-394	aspirin triggered resolvin E biosynthesis
PWY66-301	catecholamine biosynthesis
PWY66-397	resolvin D biosynthesis
PWY66-374	C20 prostanoid biosynthesis
PWY66-393	aspirin-triggered lipoxin biosynthesis
PWY66-375	leukotriene biosynthesis
PWY-7101	5-deoxystrigol biosynthesis
PWY-699	brassinosteroid biosynthesis I
PWY-2582	brassinosteroid biosynthesis II
PWY-6233	jasmonoyl-amino acid conjugates biosynthesis II
PWY-6235	hydroxyjasmonate sulfate biosynthesis
PWY-6297	tuberonate glucoside biosynthesis
PWY-6220	jasmonoyl-amino acid conjugates biosynthesis I
PWY-6303	methyl indole-3-acetate interconversion
PWY-1822	indole-3-acetate activation I
PWY-3161	indole-3-acetate biosynthesis III (bacteria)
TRPIAACAT-PWY	tryptophan degradation VII (via indole-3-pyruvate)
PWY-581	indole-3-acetate biosynthesis II
PWYDQC-4	indole-3-acetate biosynthesis I
PWY-5025	indole-3-acetate biosynthesis IV (bacteria)
PWY-5026	indole-3-acetate biosynthesis V (bacteria and fungi)
PWY-1921	indole-3-acetate activation II
PWY-2901	cytokinins 9-N-glucoside biosynthesis
PWY-2681	trans-zeatin biosynthesis
PWY-2781	cis-zeatin biosynthesis
PWY-2881	cytokinins 7-N-glucoside biosynthesis
PWY-5967	lupinate biosynthesis
PWY-6853	ethylene biosynthesis II (microbes)
PWY-6854	ethylene biosynthesis III (microbes)
ETHYL-PWY	ethylene biosynthesis I (plants)
PWY-6148	tetrahydromethanopterin biosynthesis
P241-PWY	coenzyme B biosynthesis
PWY-5963	thio-molybdenum cofactor biosynthesis
PWY0-1433	tetrahydromonapterin biosynthesis
PWY-7064	3-amino-3-phenylpropanoyl-CoA formation (Taxol 13C-side chain biosynthesis)
PWY-5207	coenzyme B/coenzyme M regeneration
PWY-5915	phycoerythrobilin biosynthesis
PWY-5917	phycocyanobilin biosynthesis
PWY-5199	factor 420 polyglutamylation
PWY-5254	methanofuran biosynthesis
PWY-5964	guanylyl molybdenum cofactor biosynthesis
PWY-5196	factor 430 biosynthesis
PWY-7170	phytochromobilin biosynthesis
SAM-PWY	S-adenosyl-L-methionine biosynthesis
PWY-5198	factor 420 biosynthesis
PWY-6420	pyrroloquinoline quinone biosynthesis
PWY-6012	acyl carrier protein metabolism
PWY-5499	vitamin B6 degradation
PWY-6476	cytidylyl molybdenum cofactor biosynthesis
PWY-5297	siroheme amide biosynthesis
PWY-5194	siroheme biosynthesis
PWY0-1415	superpathway of heme biosynthesis from uroporphyrinogen-III
HEMESYN2-PWY	heme biosynthesis from uroporphyrinogen-III II
PWY-5918	superpathay of heme biosynthesis from glutamate
PWY-5920	superpathway of heme biosynthesis from glycine
HEME-BIOSYNTHESIS-II	heme biosynthesis from uroporphyrinogen-III I
PWY-5526	bacteriochlorophyll a biosynthesis
PWY-5529	superpathway of bacteriochlorophyll a biosynthesis
PWY-5068	chlorophyll cycle
PWY-5064	chlorophyll a biosynthesis II
PWY-5086	chlorophyll a biosynthesis I
CHLOROPHYLL-SYN	chlorophyllide a biosynthesis I
PWY-5531	chlorophyllide a biosynthesis II
PWY-7159	chlorophyllide a biosynthesis III
PWY-6984	lipoate salvage II
PWY0-501	lipoate biosynthesis and incorporation I
PWY0-1275	lipoate biosynthesis and incorporation II
