RXN	1_upper_euphotic	6_upper_euphotic	2_chlorophyllmax	3_below_euphotic	5_uppermesopelagic	7_omz	4_deepabyss
ASPARTATE--TRNA-LIGASE-RXN	5	2	2	6	3	6	1
NADPYROPHOSPHAT-RXN	0	0	1	0	0	0	1
RXN-10827	1	2	0	0	2	0	0
NAPHTHALENE-12-DIOXYGENASE-RXN	0	1	0	0	0	0	0
DIAMINOPIMEPIM-RXN	1	1	3	1	1	3	3
PDXJ-RXN	0	1	1	1	2	0	1
RXN-1381	0	1	1	1	1	2	0
THYM-PHOSPH-RXN	1	1	0	0	3	1	0
ADENINE-DEAMINASE-RXN	1	0	0	0	1	0	2
PSII-RXN	0	1	0	0	0	0	0
RXN-9552	1	0	0	0	0	0	0
3PGAREARR-RXN	3	6	7	5	2	7	10
2.4.1.83-RXN	0	1	0	0	0	1	1
IMPCYCLOHYDROLASE-RXN	0	1	0	1	0	1	0
6.2.1.34-RXN	0	0	1	0	0	1	0
MALEYLACETOACETATE-ISOMERASE-RXN	0	0	1	0	0	0	0
HISTPRATPHYD-RXN	0	2	2	0	1	1	2
RXN-761	0	0	2	0	1	0	4
LUMAZINESYN-RXN	0	1	1	0	2	5	1
6.3.5.6-RXN	2	3	0	4	3	5	5
RXN-821	0	0	0	1	0	0	0
MYO-INOSITOL-2-DEHYDROGENASE-RXN	1	0	0	0	2	0	2
HYDROGEN-DEHYDROGENASE-RXN	0	0	0	1	0	2	1
UDPKIN-RXN	4	3	1	2	2	1	4
RXN1G-617	1	0	0	0	0	0	0
RXN0-2381	2	1	1	0	2	3	3
CHMS-DEHYDROGENASE-RXN	0	0	0	0	0	1	2
DTDPGLUCOSEPP-RXN	2	2	2	0	3	2	2
RXN0-6479	3	1	4	5	5	7	4
DADPKIN-RXN	4	3	1	2	2	1	4
HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN	0	0	0	0	3	2	0
FOLYLPOLYGLUTAMATESYNTH-RXN	1	1	0	0	0	0	3
PYRUFLAVREDUCT-RXN	2	2	0	3	1	2	4
RXN0-5114	1	0	1	1	1	1	1
IGPSYN-RXN	0	2	4	4	0	5	4
3-DEHYDROQUINATE-DEHYDRATASE-RXN	0	2	2	1	3	3	1
RXN-12140	5	4	0	0	1	0	0
2.6.1.37-RXN	0	1	1	1	1	1	1
GLUTACONYL-COA-DECARBOXYLASE-RXN	0	0	2	0	0	1	4
GLUTRNAREDUCT-RXN	0	1	0	0	0	4	3
1.20.99.1-RXN	0	0	0	0	0	1	0
5.1.3.20-RXN	0	0	0	1	0	1	3
5-FORMYL-THF-CYCLO-LIGASE-RXN	0	2	1	0	0	0	2
6PGLUCONOLACT-RXN	0	0	1	1	2	1	0
RXN0-304	0	1	0	0	0	0	0
GALACTONDEHYDRAT-RXN	1	2	0	0	0	3	3
RXN-12134	5	4	0	0	1	0	0
RXN-11085	0	0	0	0	1	2	0
OXALYL-COA-DECARBOXYLASE-RXN	0	0	0	0	1	0	1
1.13.11.15-RXN	0	0	0	0	0	1	0
DLACTDEHYDROGFAD-RXN	1	0	0	1	0	0	1
RXN-1623	0	0	1	0	3	2	0
METHYLCROTONYL-COA-CARBOXYLASE-RXN	3	2	2	0	1	2	2
4-HYDROXYPROLINE-EPIMERASE-RXN	0	0	0	0	1	1	1
F16ALDOLASE-RXN	1	1	2	1	6	3	2
ASPARTATEKIN-RXN	3	1	0	1	8	3	6
FORMATETHFLIG-RXN	4	0	0	1	2	5	3
RXN0-4301	2	2	1	0	2	0	2
2.7.9.3-RXN	0	2	2	0	2	4	1
ALARACECAT-RXN	4	3	0	0	5	2	2
RXN-11370	0	0	0	0	1	1	0
GLUTSEMIALDEHYDROG-RXN	2	4	1	6	3	0	2
4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	0	0	0	0	0	1	0
1.21.3.1-RXN	1	0	0	0	0	0	1
2.1.1.79-RXN	1	2	1	0	3	0	2
MANNONOXIDOREDUCT-RXN	0	0	0	0	1	0	0
ACETYLGLUTKIN-RXN	2	0	0	3	4	3	2
RXN0-4342	0	0	0	0	0	1	0
KYNURENINASE-RXN	1	2	0	0	2	2	1
RXN0-4361	0	0	0	1	0	0	0
QUINOLINATE-SYNTHA-RXN	2	1	1	2	2	6	4
TYRAMINOTRANS-RXN	2	0	0	0	0	0	0
PPENTOMUT-RXN	0	1	0	0	0	1	1
SULFITE-DEHYDROGENASE-RXN	0	0	0	0	0	0	1
6PGLUCONDEHYDROG-RXN	0	0	2	0	0	3	2
4.2.3.12-RXN	0	1	0	1	3	2	0
RXN-8023	4	0	0	1	0	0	0
METHYLISOCITRATE-LYASE-RXN	0	0	0	0	0	1	2
AGMATINE-DEIMINASE-RXN	0	3	0	0	0	0	0
3.4.11.1-RXN	6	4	0	6	3	6	4
RXN-10655	1	0	0	0	0	0	0
OROTPDECARB-RXN	2	1	1	2	4	4	2
GLUTAMIDOTRANS-RXN	5	5	2	1	0	4	4
3-HYDROXYISOBUTYRYL-COA-HYDROLASE-RXN	0	0	1	0	0	0	0
RXN-8079	1	1	1	0	0	1	2
RXN0-1461	4	3	1	3	4	5	2
TETHYDPICSUCC-RXN	1	0	1	0	0	0	3
CARVEOL-DEHYDROGENASE-RXN	0	0	0	0	0	0	1
HOMOGENTISATE-12-DIOXYGENASE-RXN	0	1	1	1	0	2	1
THREODEHYD-RXN	1	2	0	1	1	1	0
3.5.2.14-RXN	1	2	0	1	3	4	4
DIMETHUROPORDEHYDROG-RXN	0	0	0	0	0	1	0
RXN-10063	1	2	1	0	2	1	0
ACETATE--COA-LIGASE-ADP-FORMING-RXN	2	4	0	4	6	8	7
ACETYL-COA-ACETYLTRANSFER-RXN	13	6	8	6	14	17	21
GUANINE-DEAMINASE-RXN	1	0	0	0	0	0	0
3.5.99.5-RXN	0	0	0	0	2	0	0
RXN3O-127	0	0	0	0	2	0	0
GCVT-RXN	9	0	0	3	3	6	5
TETRAACYLDISACC4KIN-RXN	0	1	0	1	1	3	1
MERCURY-II-REDUCTASE-RXN	1	0	0	0	1	0	0
1.2.1.25-RXN	0	0	0	3	1	1	3
RXN-2902	4	0	1	2	3	5	1
RXN-9532	1	0	0	0	0	0	0
XYLISOM-RXN	1	0	0	5	8	3	4
2.7.1.148-RXN	0	0	0	0	1	0	1
GALACTOKIN-RXN	0	0	0	0	0	1	0
RXN1G-260	1	0	0	0	0	0	0
R229-RXN	2	0	0	0	1	0	0
RXN-2006	2	0	0	1	0	1	3
RXN-34	0	0	0	1	0	1	1
RXN1G-717	1	0	0	0	0	0	0
RXN-2962	0	1	0	0	0	0	1
RXN-9990	0	0	0	0	1	2	0
2.3.1.180-RXN	8	2	3	1	4	4	7
MALEYLPYRUVATE-ISOMERASE-RXN	0	0	0	0	0	0	1
2.5.1.45-RXN	0	0	0	0	0	0	1
THYKI-RXN	1	0	1	0	0	0	1
PABASYN-RXN	15	2	5	4	2	9	10
RXN0-5388	0	0	0	0	0	2	0
HISTALDEHYD-RXN	4	2	1	7	2	3	3
FERREDOXIN--NITRITE-REDUCTASE-RXN	0	0	0	0	0	0	1
RXN-6161	0	2	1	0	1	0	0
FORMIMINOGLUTAMATE-DEIMINASE-RXN	0	3	0	2	0	0	1
VALINE-PYRUVATE-AMINOTRANSFER-RXN	0	0	0	0	1	0	2
PHENYLALANINE-AMMONIA-LYASE-RXN	0	0	0	0	0	0	1
RXN-7733	0	0	1	0	0	1	0
KDO-8PPHOSPHAT-RXN	0	0	1	0	0	0	2
1.13.11.6-RXN	0	0	0	0	2	1	0
RXN0-1321	2	1	1	5	3	3	2
RXN1G-364	1	0	0	0	0	0	0
THI-P-KIN-RXN	0	1	1	0	2	2	0
RXN-2043	1	0	0	1	2	0	2
THIOSULFATE-SULFURTRANSFERASE-RXN	0	1	0	0	1	1	3
DAHPSYN-RXN	7	4	4	7	5	7	8
TAURINE-AMINOTRANSFERASE-RXN	0	0	0	1	1	2	1
ENOYL-ACP-REDUCT-NADPH-RXN	0	0	1	0	0	1	1
UDPGLUCEPIM-RXN	3	2	2	1	4	7	6
DETHIOBIOTIN-SYN-RXN	0	0	0	0	1	0	0
HEMN-RXN	4	5	1	3	5	5	2
RXN-11781	0	1	0	0	1	0	0
GUANPRIBOSYLTRAN-RXN	3	1	1	1	2	1	3
1.18.1.2-RXN	3	0	0	0	1	1	4
LAUROYLACYLTRAN-RXN	1	2	0	0	0	1	0
GCVP-RXN	1	0	2	1	1	1	5
GENTISATE-12-DIOXYGENASE-RXN	0	0	1	0	0	0	1
2.1.1.103-RXN	0	0	0	0	0	0	1
RXN1G-409	1	0	0	0	0	0	0
MHPELY-RXN	0	0	0	1	0	0	0
3.1.27.9-RXN	0	0	0	1	0	0	0
RXN0-5061	0	0	0	0	0	2	0
RXN-7566	1	0	0	1	0	0	0
H2PTEROATESYNTH-RXN	6	1	0	2	3	2	3
DUTP-PYROP-RXN	2	0	1	0	1	0	1
RXN-10659	1	0	0	0	0	0	0
RXN0-1863	0	0	0	0	1	0	0
ARYLFORMAMIDASE-RXN	0	0	0	0	0	0	1
RXN1G-184	1	0	0	0	0	0	0
2-HEXADECENAL-REDUCTASE-RXN	0	3	0	1	1	1	1
RXN-961	0	0	0	0	0	2	0
PHOSMANMUT-RXN	2	1	1	1	4	3	2
ANTHRANSYN-RXN	6	3	6	3	4	6	5
ALLANTOATE-DEIMINASE-RXN	2	2	0	1	0	0	1
ISOCITDEH-RXN	9	7	5	1	6	3	5
PROLINE-RACEMASE-RXN	1	0	0	2	1	2	2
MOXXANAU-RXN	1	0	0	0	1	0	0
CARBOXYMETHYLENEBUTENOLIDASE-RXN	4	3	1	1	0	3	3
RXN1G-252	1	0	0	0	0	0	0
GLUTAMATE-DEHYDROGENASE-NADP+-RXN	1	1	1	2	1	0	3
RXN0-4141	0	0	0	1	0	2	1
RXN-1404	0	1	1	0	2	0	0
RXN-12215	0	0	0	1	0	2	1
DHLBXANAU-RXN	1	0	0	0	1	0	0
RXN-7698	1	0	0	0	0	1	0
RXN-8631	0	1	2	1	3	3	0
ASPARTASE-RXN	1	0	0	1	0	1	2
N-ACETYLGLUTPREDUCT-RXN	0	1	1	1	2	4	2
BRANCHED-CHAINAMINOTRANSFERVAL-RXN	0	1	0	1	2	0	0
H2NTPEPIM-RXN	1	0	1	0	0	0	0
THYMIDYLATESYN-RXN	4	3	2	2	1	3	2
SERINE--TRNA-LIGASE-RXN	2	1	1	5	3	3	4
ENOYL-ACP-REDUCT-NADH-RXN	0	0	2	3	0	1	2
METHYLGLUTACONYL-COA-HYDRATASE-RXN	0	0	0	0	1	0	0
RXN0-4222	0	0	1	0	0	0	0
CATECHOL-OXIDASE-RXN	2	0	0	1	0	1	1
RXN-12705	6	10	5	2	7	10	5
CREATINASE-RXN	0	0	0	1	0	0	0
2.7.4.22-RXN	1	1	0	5	3	4	3
RXN-11556	3	3	5	0	0	6	0
ACETATE--COA-LIGASE-RXN	2	4	0	6	7	9	15
5.1.3.17-RXN	0	0	0	0	0	1	0
RXN0-6480	3	1	4	5	5	7	4
DIHYDROXYISOVALDEHYDRAT-RXN	5	6	6	2	6	4	6
1.1.1.271-RXN	0	2	2	1	1	1	2
RXN-12275	0	0	0	1	0	2	1
RXN-8629	6	0	3	4	6	11	8
MMUM-RXN	0	1	0	0	0	3	3
RXN-7810	0	0	0	0	2	0	0
RXN-9535	0	2	0	0	1	5	2
2-AMINOADIPATE-AMINOTRANSFERASE-RXN	0	0	1	0	0	0	0
DUDPKIN-RXN	4	3	1	2	2	1	4
IMIDPHOSDEHYD-RXN	0	0	0	2	2	3	1
GMP-SYN-NH3-RXN	1	1	1	2	2	7	11
RXN-9958	0	1	0	0	0	0	0
2OXOGLUTDECARB-RXN	2	5	1	0	0	0	1
XANTHOSINEPHOSPHORY-RXN	0	1	0	0	3	0	0
RXN-9730	0	0	3	0	0	0	0
R103-RXN	0	1	0	0	0	1	0
ALTRODEHYDRAT-RXN	1	0	0	1	0	0	0
PANTOATE-BETA-ALANINE-LIG-RXN	0	0	0	0	2	2	2
RXN-8891	0	3	1	1	3	2	1
RXN-10009	6	1	0	2	3	2	3
IMP-DEHYDROG-RXN	2	6	3	3	1	5	3
UDP-NACMURALGLDAPLIG-RXN	1	3	0	0	1	1	0
PSERTRANSAM-RXN	2	2	2	0	0	1	1
ALKANE-1-MONOOXYGENASE-RXN	0	2	0	1	0	1	1
PRIBFAICARPISOM-RXN	0	0	0	2	1	3	1
GART-RXN	3	0	1	0	3	1	4
ACETYLORNTRANSAM-RXN	2	3	1	0	0	3	4
NICOTINAMID-RXN	7	8	6	7	13	10	12
3.2.1.8-RXN	0	0	0	0	0	1	0
PHOSGLYPHOS-RXN	1	5	2	2	4	5	6
3.1.3.70-RXN	1	0	0	0	0	0	0
3.5.2.17-RXN	0	0	0	0	0	0	1
RXN-5284	1	0	0	0	0	0	0
TRANS-RXN0-277	0	2	1	0	0	3	4
INOPHOSPHOR-RXN	0	1	0	0	3	0	0
RXN1G-240	1	0	0	0	0	0	0
RXN0-947	0	0	0	1	2	2	0
DIHYDROPYRIMIDINASE-RXN	0	3	1	5	0	6	3
PYRIDOXAL-4-DEHYDROGENASE-RXN	3	2	0	0	1	2	4
RXN-8783	2	2	0	3	0	3	3
ASPCARBTRANS-RXN	4	7	2	0	1	3	1
RXN1G-72	1	0	0	0	0	0	0
ACETATEKIN-RXN	0	0	0	1	0	1	0
DEHYDDEOXPHOSGALACT-ALDOL-RXN	0	1	0	0	0	0	0
METHYLMALONYL-COA-MUT-RXN	9	7	2	10	6	2	9
RXN-12424	0	0	1	0	0	0	0
HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN	0	0	2	1	2	1	2
RXN0-746	0	0	0	0	0	0	2
1.5.1.9-RXN	2	0	0	0	1	0	4
UROPORIIIMETHYLTRANSA-RXN	0	0	2	0	0	2	1
L-ASPARTATE-OXID-RXN	1	3	0	0	1	5	0
HEME-OXYGENASE-DECYCLIZING-RXN	0	1	0	0	0	0	0
RXN0-1401	0	1	0	0	0	0	0
RXN-8991	3	9	3	7	5	9	3
1-PHOSPHATIDYLINOSITOL-KINASE-RXN	0	0	0	0	2	1	0
1.2.4.4-RXN	0	0	0	3	1	2	4
1.10.2.2-RXN	2	1	0	1	2	1	1
CDPREDUCT-RXN	0	0	0	0	0	1	0
4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN	0	0	0	0	1	1	1
GLY3KIN-RXN	0	0	0	0	0	2	0
RXN1G-469	1	0	0	0	0	0	0
PREPHENATEDEHYDROG-RXN	2	2	1	0	1	2	0
RXN-9739	0	0	0	0	0	0	1
6.3.4.16-RXN	1	8	8	8	12	18	16
L-GLN-FRUCT-6-P-AMINOTRANS-RXN	7	2	4	3	2	1	1
METHIONINE-GAMMA-LYASE-RXN	0	1	0	0	0	0	1
ADCLY-RXN	1	0	0	0	1	4	1
RXN-7645	0	0	0	0	1	0	0
GLUCONATE-DEHYDRATASE-RXN	0	0	0	1	0	0	0
R344-RXN	0	2	0	0	1	2	0
TRYPTOPHAN--TRNA-LIGASE-RXN	2	3	1	4	0	5	4
L-RHAMNONATE-DEHYDRATASE-RXN	0	0	0	0	2	0	0
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	0	3	1	1	3	2	1
RXN0-5266	1	1	0	0	0	0	2
UDPACYLGLCNACDEACETYL-RXN	1	0	0	0	0	0	0
H2NEOPTERINALDOL-RXN	0	0	0	0	0	0	1
TRIOSEPISOMERIZATION-RXN	0	2	1	1	1	1	4
RXN0-2161	0	0	0	2	0	0	0
RXN-11740	1	0	0	0	0	1	0
UDP-NACMUR-ALA-LIG-RXN	2	1	2	1	2	5	2
GLUTARYL-COA-DEHYDROG-RXN	0	0	1	0	0	1	1
GSPSYN-RXN	0	0	0	0	1	0	0
SUCCINYLDIAMINOPIMTRANS-RXN	1	0	0	0	0	0	1
GDPKIN-RXN	4	3	1	2	2	1	4
N-FORMYLGLUTAMATE-DEFORMYLASE-RXN	1	1	0	1	2	2	1
GDPMANDEHYDRA-RXN	1	5	0	2	3	1	0
3-OXOADIPATE-ENOL-LACTONASE-RXN	0	0	0	0	1	1	1
GLYOXII-RXN	2	2	0	1	0	4	1
ACETYLHOMOSER-CYS-RXN	0	5	1	2	2	2	0
GLUTCYSLIG-RXN	2	0	1	0	0	2	2
PHOSPHONOACETALDEHYDE-HYDROLASE-RXN	0	0	0	0	1	2	1
GABATRANSAM-RXN	0	3	0	0	0	1	0
COBALAMIN5PSYN-RXN	0	1	0	0	1	1	1
SIROHEME-FERROCHELAT-RXN	0	0	1	1	0	3	1
RXN-9449	0	0	0	0	1	0	0
2.7.7.33-RXN	1	0	1	1	1	1	0
RXN0-5224	1	2	0	0	1	1	2
PGLYCDEHYDROG-RXN	2	8	1	5	2	4	4
RXN1G-481	1	0	0	0	0	0	0
CITRYLY-RXN	1	0	1	0	2	4	5
2.6.1.33-RXN	0	0	0	0	0	0	1
RXN-6021	0	2	1	1	0	0	1
RXN0-6575	0	0	0	0	0	0	1
FARNESYLTRANSTRANSFERASE-RXN	0	3	0	1	2	2	1
RXN-11174	0	1	1	1	0	0	2
RXN-11667	0	3	0	0	0	0	2
METHYLMALONYL-COA-EPIM-RXN	0	0	0	1	3	1	0
RXN-11473	0	0	0	0	1	0	0
RXN0-2022	0	0	0	0	1	0	0
PHOSACETYLTRANS-RXN	2	2	2	1	1	1	2
1TRANSKETO-RXN	6	3	2	5	6	11	9
RXN-8675	0	0	2	0	0	1	1
CATECHOL-23-DIOXYGENASE-RXN	0	0	0	0	0	1	2
RXN-12726	0	0	0	0	0	0	1
RXN0-308	3	5	3	4	9	5	13
XANPRIBOSYLTRAN-RXN	1	1	0	1	0	0	1
NAG6PDEACET-RXN	0	0	0	0	1	0	1
DCDPKIN-RXN	4	3	1	2	2	1	4
1.2.1.65-RXN	0	1	0	0	0	0	0
GLYOHMETRANS-RXN	2	7	2	4	5	9	6
MERCAPYSTRANS-RXN	0	0	0	0	0	0	1
RXN-22	3	0	1	2	2	3	4
RXN-7737	1	0	0	0	0	0	0
RXN-5061	1	2	0	0	0	2	5
RXN-1305	2	0	0	1	0	1	3
RXN1G-853	1	0	0	0	0	0	0
HOMOSERKIN-RXN	0	0	1	1	2	1	3
RXN-8505	0	0	0	3	1	1	1
ACETOOHBUTSYN-RXN	0	0	1	0	1	0	0
6.3.5.7-RXN	8	3	3	7	9	6	9
GLUC1PADENYLTRANS-RXN	0	1	0	1	3	0	0
RXN1G-182	1	0	0	0	0	0	0
LYSINE--TRNA-LIGASE-RXN	3	2	2	4	4	4	4
CDPDIGLYSYN-RXN	1	0	0	1	0	1	1
L-LACTDEHYDROGFMN-RXN	1	1	1	1	0	0	4
BUTYRYL-COA-DEHYDROGENASE-RXN	1	2	0	0	1	1	3
RXN-10841	0	0	1	0	0	0	0
2.5.1.19-RXN	2	1	2	3	4	6	3
CATECHOL-2-3-DIOXYGENASE-RXN	0	0	0	0	0	0	2
SPERMINE-SYNTHASE-RXN	0	0	0	0	1	1	1
GLUTAMINE--TRNA-LIGASE-RXN	1	5	2	2	10	7	4
ADOMET-DMK-METHYLTRANSFER-RXN	2	4	0	2	1	1	1
ADENOSYLHOMOCYSTEINASE-RXN	8	3	7	3	3	7	6
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	1	4	1	3	7	0	3
PROTOHEMEFERROCHELAT-RXN	4	2	0	1	1	3	2
RXN1G-262	1	0	0	0	0	0	0
GLUCONOLACT-RXN	2	2	0	3	0	3	4
ACONITATEDEHYDR-RXN	2	8	7	9	9	7	7
RXN0-6491	0	2	0	1	2	2	1
RXN-11338	0	1	0	1	4	2	5
MANNONDEHYDRAT-RXN	1	0	0	1	0	2	0
2PGADEHYDRAT-RXN	2	2	5	1	4	7	6
PYRNUTRANSHYDROGEN-RXN	5	7	3	3	3	11	10
7KAPSYN-RXN	0	0	1	1	2	0	0
RIBULP3EPIM-RXN	2	3	0	1	4	4	3
RXN0-743	0	0	0	2	0	1	1
RXN-9536	1	0	0	0	0	0	0
QUINOPRIBOTRANS-RXN	1	1	2	1	2	2	2
OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN	0	1	0	0	3	0	0
SUPEROX-DISMUT-RXN	1	0	1	0	3	1	1
DARAB5PISOM-RXN	2	0	0	1	0	0	0
5.3.1.23-RXN	3	0	2	1	0	3	4
MUCONOLACTONE-DELTA-ISOMERASE-RXN	0	0	0	0	0	1	0
DTDPDEHYRHAMREDUCT-RXN	0	4	1	0	0	1	1
RXN1G-408	1	0	0	0	0	0	0
DTDPDEHYDRHAMEPIM-RXN	3	0	0	1	3	0	0
RXN1G-460	8	3	3	2	4	4	8
ATPSYN-RXN	22	28	10	21	22	32	30
SULFITE-OXIDASE-RXN	0	0	0	0	0	0	1
ADDALT-RXN	1	1	0	2	0	5	1
1.1.1.262-RXN	1	5	2	2	2	2	3
2.7.1.90-RXN	1	2	1	0	1	3	2
GLYRIBONUCSYN-RXN	0	2	5	3	4	6	4
1.12.1.3-RXN	0	0	0	1	0	2	1
ALLANTOICASE-RXN	0	0	0	0	0	1	0
RXN-1241	0	1	0	0	2	0	1
ARGSUCCINSYN-RXN	3	1	0	2	2	3	2
FRUCTOKINASE-RXN	0	0	0	0	0	0	1
NARINGENIN-CHALCONE-SYNTHASE-RXN	0	0	0	0	1	0	0
6-CARBOXYHEXANOATE--COA-LIGASE-RXN	0	0	0	1	0	0	0
RXN-12185	0	1	0	0	0	0	0
ARGININE--TRNA-LIGASE-RXN	3	1	2	7	7	7	5
UTPHEXPURIDYLYLTRANS-RXN	0	0	0	0	0	1	0
R601-RXN	1	1	0	1	1	5	3
RXN0-5393	16	19	9	7	11	15	14
MEPROPCOA-FAD-RXN	0	1	0	0	0	0	0
3.1.3.56-RXN	1	0	0	0	0	0	0
RXN-9508	0	0	1	0	0	0	1
R281-RXN	0	0	1	0	0	0	0
L-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN	1	1	1	1	0	0	4
ETHYL-RXN	1	0	0	0	0	0	0
RXN-11680	4	2	1	1	4	0	4
CYSTATHIONINE-BETA-LYASE-RXN	1	1	0	0	0	1	0
CELLULOSE-SYNTHASE-UDP-FORMING-RXN	0	0	0	0	1	0	0
PHENYLALANINE-DECARBOXYLASE-RXN	1	0	0	0	0	0	2
DIOHBUTANONEPSYN-RXN	0	4	0	1	6	8	1
TYROSINE--TRNA-LIGASE-RXN	3	0	0	3	0	1	3
ADENYLYLSULFKIN-RXN	0	1	2	0	2	1	2
RXN-12142	5	4	0	0	1	0	0
HOMOSERINE-O-ACETYLTRANSFERASE-RXN	1	2	1	1	2	1	2
RXN-9518	1	0	0	0	0	0	0
GSHTRAN-RXN	8	16	1	6	4	7	7
ORNCARBAMTRANSFER-RXN	1	3	0	2	1	2	5
IPPISOM-RXN	0	0	1	0	1	0	1
RXN-9633	1	0	0	0	0	0	0
RXN-3641	0	0	0	0	1	0	0
RXN-8925	0	0	0	0	0	1	1
4-HYDROXY-2-KETOPIMELATE-LYSIS-RXN	0	0	0	2	3	2	2
RXN-8850	2	4	1	0	0	2	0
RXN0-1382	2	3	0	1	4	1	1
ALANINE--TRNA-LIGASE-RXN	4	5	1	2	4	7	6
R231-RXN	2	2	0	0	3	1	1
PGLUCONDEHYDRAT-RXN	0	0	1	0	0	0	0
RXN0-723	0	0	0	0	0	0	2
ISOCITRATE-DEHYDROGENASE-NAD+-RXN	9	4	3	1	4	3	5
1.13.11.49-RXN	0	0	0	1	1	1	0
RXN-7082	0	1	0	0	0	0	0
3.2.1.81-RXN	0	0	1	0	0	0	0
RXN-7813	0	0	0	0	2	0	0
4.3.1.4-RXN	0	0	1	0	0	1	0
MALSYN-RXN	6	4	0	0	1	3	5
2-METHYLACYL-COA-DEHYDROGENASE-RXN	0	1	0	0	0	0	0
1.3.7.3-RXN	0	0	0	1	0	0	0
RXN-8141	7	5	0	0	3	1	3
ACETOLACTREDUCTOISOM-RXN	4	2	1	3	0	6	8
R222-RXN	0	18	0	3	0	14	15
MYRISTOYLACYLTRAN-RXN	0	0	0	0	0	1	1
RXN0-4641	1	0	0	0	0	0	1
PGLUCISOM-RXN	1	2	0	3	2	0	2
RXN-1826	0	0	0	0	0	0	2
BADH-RXN	1	0	1	0	1	3	2
MUCONATE-CYCLOISOMERASE-RXN	0	0	0	1	0	0	0
UREASE-RXN	0	6	7	3	0	1	2
3.1.2.23-RXN	0	1	0	0	1	2	1
MALIC-NAD-RXN	1	0	1	1	0	0	0
PHOSPHASERSYN-RXN	1	3	0	1	2	2	1
D-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN	0	0	1	0	0	0	2
RXN1G-203	1	0	0	0	0	0	0
2.3.1.179-RXN	1	0	0	0	2	2	0
KETOACYLCOATHIOL-RXN	2	1	0	2	2	2	4
RXN0-3962	0	0	0	0	0	1	1
GALPMUT-RXN	4	0	0	1	0	0	0
F16BDEPHOS-RXN	1	2	2	0	2	1	0
UDPREDUCT-RXN	1	2	3	0	1	0	0
METHIONINE--TRNA-LIGASE-RXN	4	3	0	5	5	2	10
RXN-11503	0	0	0	0	0	0	1
1.3.1.62-RXN	0	0	1	0	0	0	0
RXN-11373	0	0	0	0	1	1	0
RXN-8979	2	0	0	0	0	1	2
RXN-11468	0	0	0	0	1	0	0
2.6.1.18-RXN	2	0	0	0	0	0	0
GLUCONATE-2-DEHYDROGENASE-RXN	0	0	0	1	1	1	2
3.1.6.12-RXN	0	0	0	0	0	2	2
2.7.7.13-RXN	0	2	0	0	0	3	2
RXN-7567	1	2	0	0	0	1	1
KDOTRANS-RXN	0	0	0	0	1	0	0
ORNITHINE-CYCLODEAMINASE-RXN	0	1	1	0	2	0	0
DEPHOSPHOCOAKIN-RXN	8	3	0	2	1	0	3
GLU6PDEHYDROG-RXN	3	3	0	0	1	0	0
PROTOCATECHUATE-34-DIOXYGENASE-RXN	0	0	1	0	0	0	0
HOLO-ACP-SYNTH-RXN	1	1	0	1	0	0	0
GLYCDEH-RXN	0	1	0	0	0	1	0
RXN0-2141	8	2	3	1	6	9	9
3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN	0	1	0	2	3	5	2
RXN-2364	0	0	0	0	0	4	4
PMPOXI-RXN	2	1	3	1	0	3	4
CHORISMATEMUT-RXN	1	1	0	1	0	1	0
SALICYLATE-1-MONOOXYGENASE-RXN	0	1	0	0	0	0	0
GALACTARDEHYDRA-RXN	0	0	1	1	1	1	1
COBALADENOSYLTRANS-RXN	0	0	2	0	0	1	0
DIAMINOPIMDECARB-RXN	7	5	3	3	2	4	1
2-OCTAPRENYLPHENOL-HYDROX-RXN	3	1	0	0	1	0	0
UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN	0	0	0	1	3	1	1
RXN66-281	0	0	0	1	0	0	2
2TRANSKETO-RXN	6	3	2	5	6	11	9
ALANINE-DEHYDROGENASE-RXN	3	3	0	2	1	7	1
KYNURENINE-3-MONOOXYGENASE-RXN	0	0	1	0	1	1	1
PROTEIN-ARGININE-DEIMINASE-RXN	0	0	0	0	0	1	0
5.4.2.10-RXN	3	0	0	1	1	4	2
RXN0-5398	0	1	1	0	0	3	0
SARCOX-RXN	2	6	2	5	7	7	6
2-NITROPROPANE-DIOXYGENASE-RXN	8	3	3	1	4	2	2
2.1.1.138-RXN	0	0	0	1	0	0	0
ACYLCOADEHYDROG-RXN	26	32	16	15	27	16	31
6-HYDROXYNICOTINATE-REDUCTASE-RXN	1	0	0	0	0	0	0
PHENOL-2-MONOOXYGENASE-RXN	0	1	0	1	0	0	0
5-DEHYDRO-2-DEOXYGLUCONOKINASE-RXN	0	0	0	0	0	0	1
RXN0-745	0	0	0	0	0	0	2
